X1	X2	year_date	letter_id	folio_or_catalogue
1	7754	1508	L1	F1
2	7755	1515	L2	NA
3	7756	1516	L3	F2
4	7757	1528	L4	NA
3	4	1528	L5	NA
5	23	1532	L6	F3
5	23	1532	L7	F3
6	7492	1532	L8	NA
5	23	1536	L9	F3
7	7492	1537	L10	NA
8	7758	1537	L11	NA
9	3	1537	L12	F4
10	23	1538	L13	F3
5	23	1538	L14	F3
11	51	1546	L15	F4
12	23	1547	L16	F3
13	23	1548	L17	F3
14	23	1548	L18	F3
15	23	1548	L19	F3
11	7759	1550	L20	F4
11	7760	1551	L21	F4
16	26	1552	L22	NA
17	7761	1552	L23	F5
16	26	1552	L24	NA
18	11	1552	L25	F4
16	26	1553	L26	NA
19	7762	1553	L27	F4
20	23	1553	L28	F3
21	56	1554	L29	F4
10	23	1554	L30	F3
22	23	1556	L31	F3
23	7763	1556	L32	F3
10	23	1556	L33	F3
24	26	1559	L34	NA
23	7763	1561	L35	F3
25	35	1561	L36	F6
23	7763	1562	L37	F3
24	26	1562	L38	NA
23	7763	1562	L39	F3
26	24	1562	L40	F4
23	7763	1562	L41	F3
26	100	1562	L42	F7
23	7763	1562	L43	F3
23	7763	1562	L44	F3
26	100	1562	L45	F7
23	7763	1563	L46	F3
23	7763	1563	L47	F3
24	26	1563	L48	NA
24	26	1563	L49	NA
23	7763	1563	L50	F3
23	7763	1564	L51	F3
27	7764	1564	L52	F8
23	7763	1564	L53	F3
28	24	1564	L54	F4
23	7763	1564	L55	F3
29	35	1565	L56	F9
29	82	1565	L56	F9
29	7765	1565	L56	F9
29	24	1565	L56	F9
30	23	1565	L57	F3
23	7763	1565	L58	F3
31	23	1565	L59	F3
10	23	1565	L60	F3
32	23	1565	L61	F3
24	26	1565	L62	NA
24	26	1566	L63	NA
10	23	1566	L64	F3
33	7766	1566	L65	F10
34	23	1566	L66	F3
35	26	1566	L67	NA
24	26	1566	L67	NA
24	26	1566	L68	NA
23	7763	1566	L69	F3
36	23	1566	L70	F3
37	23	1566	L71	F3
38	23	1566	L72	F3
10	23	1566	L73	F3
39	23	1566	L74	F3
40	27	1567	L75	F8
41	23	1567	L76	F3
42	7767	1567	L77	F3
43	23	1569	L78	F3
