X1	X2	year_date	letter_id	folio_or_catalogue
1	5	NA	L1	F1
2	5	NA	L2	F1
3	9880	NA	L3	F1
4	9881	NA	L4	F1
4	9881	NA	L5	F1
1	5	NA	L6	F1
5	8217	NA	L7	F1
5	8882	NA	L8	F1
1	5	NA	L9	F1
5	9880	NA	L10	F1
6	5	NA	L11	F1
6	5	NA	L12	F1
2	5	NA	L13	F1
7	5	NA	L14	F1
6	5	NA	L15	F1
6	5	NA	L16	F1
8	5	NA	L17	F1
1	5	NA	L18	F1
9	9882	1502	L19	F2
9	9882	1504	L20	F2
10	9	1511	L21	F2
11	19	1512	L22	F3
12	9883	1514	L23	F4
12	9884	1515	L24	F4
12	9885	1516	L25	F4
13	9886	1516	L26	F4
13	9887	1516	L26	F4
13	9888	1516	L27	F4
14	12	1516	L28	F4
14	13	1516	L29	F4
12	9889	1518	L30	F4
12	9890	1519	L31	F4
12	9891	1519	L32	F4
12	9892	1519	L33	F4
12	9893	1519	L34	F4
15	9	1519	L35	F2
12	9891	1519	L36	F4
16	12	1519	L37	F4
16	12	1519	L38	F4
12	9884	1519	L39	F4
17	9894	1519	L40	F4
17	12	1519	L41	F4
12	9895	1519	L42	F4
16	12	1519	L43	F4
12	42	1520	L44	F4
16	12	1520	L45	F4
12	9896	1520	L46	F4
12	42	1520	L47	F4
16	12	1520	L48	F4
16	12	1520	L49	F4
18	17	1520	L50	F4
12	17	1520	L51	F4
17	12	1520	L52	F4
17	12	1520	L53	F4
12	27	1521	L54	F4
12	27	1521	L55	F4
17	9893	1521	L56	F4
17	16	1521	L57	F4
12	17	1521	L58	F4
12	17	1522	L59	F4
12	42	1522	L60	F4
19	21	1522	L61	F3
12	17	1522	L62	F4
12	17	1522	L63	F4
20	12	1522	L64	F4
12	42	1522	L65	F4
12	23	1522	L66	F4
12	42	1522	L67	F4
12	17	1522	L68	F4
12	42	1522	L69	F4
12	17	1522	L70	F4
21	12	1522	L71	F4
12	9897	1522	L72	F4
12	42	1522	L73	F4
12	9898	1522	L74	F4
21	19	1522	L75	F3
12	9899	1523	L76	F4
12	42	1523	L77	F4
12	42	1523	L78	F4
22	9900	1523	L79	F4
23	12	1523	L80	F4
12	42	1523	L81	F4
12	42	1523	L82	F4
12	42	1523	L83	F4
12	42	1523	L84	F4
12	9901	1523	L85	F4
12	17	1523	L86	F4
12	42	1523	L87	F4
12	9902	1523	L88	F4
12	9903	1523	L89	F4
12	9902	1523	L90	F4
12	9901	1523	L91	F4
12	42	1523	L92	F4
12	9904	1523	L93	F4
12	9905	1523	L94	F4
12	9906	1524	L95	F4
12	9907	1524	L96	F4
12	9908	1524	L97	F4
12	42	1524	L98	F4
12	9909	1524	L99	F4
12	9910	1524	L100	F4
17	9911	1524	L101	F5
12	42	1524	L102	F4
12	42	1524	L103	F4
12	17	1524	L104	F4
12	9912	1524	L105	F4
12	9913	1524	L106	F4
12	42	1524	L107	F4
18	42	1524	L108	F4
12	42	1524	L109	F4
12	42	1524	L110	F4
12	17	1524	L111	F4
12	42	1524	L112	F4
24	9914	1524	L113	F5
25	42	1524	L114	F4
26	19	1524	L115	F3
17	12	1525	L116	F4
12	9915	1525	L117	F4
12	9916	1525	L118	F4
9	9917	1525	L119	F2
12	9915	1525	L120	F4
12	42	1525	L121	F4
12	42	1525	L122	F4
12	23	1525	L123	F4
12	42	1525	L124	F4
12	9918	1525	L125	F4
12	42	1525	L126	F4
12	42	1525	L127	F4
12	42	1525	L128	F4
12	42	1525	L129	F4
12	17	1525	L130	F4
12	23	1525	L131	F4
12	42	1525	L132	F4
27	9919	1525	L133	F2
12	42	1525	L134	F4
28	9919	1525	L135	F2
19	26	1525	L136	F3
29	9920	1526	L137	F2
9	27	1526	L138	F2
30	9919	1526	L139	F2
12	9921	1526	L140	F4
12	9922	1526	L141	F4
12	17	1526	L142	F4
12	9923	1526	L143	F4
12	42	1526	L144	F4
12	42	1526	L145	F4
9	10	1526	L146	F2
12	42	1526	L147	F4
12	17	1526	L148	F4
12	42	1526	L149	F4
12	42	1526	L150	F4
12	9924	1526	L151	F4
26	19	1526	L152	F3
12	9913	1527	L153	F4
12	9925	1527	L154	F4
12	42	1527	L155	F4
12	42	1527	L156	F4
12	42	1527	L157	F4
12	42	1527	L158	F4
12	17	1527	L159	F4
21	12	1527	L160	F4
17	12	1527	L161	F4
12	42	1527	L162	F4
12	17	1527	L163	F4
9	9926	1527	L164	F2
12	42	1527	L165	F4
12	17	1527	L166	F4
12	21	1527	L167	F4
12	42	1527	L168	F4
12	42	1527	L169	F4
17	12	1527	L170	F4
12	9927	1527	L171	F4
12	14	1528	L172	F4
12	42	1528	L173	F4
12	42	1528	L174	F4
12	42	1528	L175	F4
17	12	1528	L176	F4
12	9928	1528	L177	F4
12	17	1528	L178	F4
12	21	1529	L179	F4
12	9929	1529	L180	F4
12	9916	1529	L181	F4
31	9930	1529	L182	F6
31	9930	1529	L183	F6
31	9930	1529	L184	F6
31	9930	1529	L185	F6
31	9930	1529	L186	F6
31	9930	1529	L187	F6
31	9930	1529	L188	F6
31	9930	1529	L189	F6
12	13	1529	L190	F4
12	17	1529	L191	F4
12	9931	1529	L192	F4
12	16	1529	L193	F4
12	9904	1530	L194	F4
12	9932	1530	L195	F4
31	9930	1530	L196	F6
12	42	1530	L197	F4
12	9933	1531	L198	F4
12	23	1531	L199	F4
12	9908	1531	L200	F4
12	9934	1531	L201	F4
12	9908	1531	L202	F4
12	9934	1531	L203	F4
12	17	1531	L204	F4
12	9935	1531	L205	F4
12	9936	1531	L206	F4
12	9937	1531	L207	F4
12	9938	1532	L208	F4
12	9938	1532	L209	F4
31	9930	1532	L210	F6
12	21	1532	L211	F4
31	9930	1533	L212	F6
12	9939	1533	L213	F4
32	12	1533	L214	F4
12	17	1534	L215	F4
17	9911	1534	L216	F5
12	9936	1534	L217	F4
31	9930	1535	L218	F6
12	9940	1535	L219	F4
12	9929	1535	L220	F4
31	9930	1536	L221	F6
31	9930	1536	L222	F6
12	9941	1537	L223	F4
12	9942	1537	L224	F4
33	9943	1537	L225	F7
31	9930	1537	L226	F6
33	9943	1537	L227	F7
33	9943	1537	L228	F7
33	9944	1537	L229	F7
33	9943	1537	L230	F7
33	9943	1537	L231	F7
33	32	1537	L232	F7
33	9943	1537	L233	F7
33	9945	1537	L234	F7
33	9946	1537	L235	F7
33	9943	1537	L236	F7
33	9946	1537	L237	F7
19	41	1537	L238	F3
33	9947	1537	L239	F7
33	9946	1537	L240	F7
33	9946	1538	L241	F7
33	9946	1538	L242	F7
33	9946	1538	L243	F7
33	9946	1538	L244	F7
31	9930	1538	L245	F6
33	9946	1538	L246	F7
